p,w,s,base,best,gain
0.05,002,002,86.615200,86.701000,1.000991
0.10,002,002,48.593100,48.751900,1.003268
0.15,002,002,34.018100,33.919600,0.997104
0.20,002,002,25.840200,25.831700,0.999671
0.25,002,002,20.709900,20.711500,1.000077
0.30,002,001,17.113200,17.074600,0.997744
0.35,002,002,14.429200,14.409300,0.998621
0.40,002,002,12.366600,12.341900,0.998003
0.45,002,002,10.683600,10.660400,0.997828
0.50,002,002,9.318300,9.297700,0.997789
0.05,003,003,86.615200,86.519200,0.998892
0.10,003,003,48.593100,48.632500,1.000811
0.15,003,002,34.018100,33.601200,0.987745
0.20,003,002,25.840200,25.611500,0.991149
0.25,003,002,20.709900,20.414500,0.985736
0.30,003,002,17.113200,16.815400,0.982598
0.35,003,002,14.429200,14.113500,0.978121
0.40,003,002,12.366600,11.983200,0.968997
0.45,003,002,10.683600,10.206900,0.955380
0.50,003,002,9.318300,8.783500,0.942608
0.05,004,003,86.615200,86.840200,1.002598
0.10,004,002,48.593100,48.342900,0.994851
0.15,004,002,34.018100,33.553700,0.986348
0.20,004,002,25.840200,25.346100,0.980879
0.25,004,002,20.709900,20.066800,0.968947
0.30,004,002,17.113200,16.432200,0.960206
0.35,004,002,14.429200,13.630200,0.944626
0.40,004,002,12.366600,11.485500,0.928752
0.45,004,002,10.683600,9.736200,0.911322
0.50,004,002,9.318300,8.320700,0.892942
0.05,005,005,86.615200,87.032500,1.004818
0.10,005,003,48.593100,48.281000,0.993577
0.15,005,003,34.018100,33.197000,0.975863
0.20,005,003,25.840200,24.846600,0.961548
0.25,005,003,20.709900,19.397800,0.936644
0.30,005,003,17.113200,15.529600,0.907463
0.35,005,003,14.429200,12.533200,0.868600
0.40,005,003,12.366600,10.153500,0.821042
0.45,005,003,10.683600,8.184500,0.766081
0.50,005,003,9.318300,6.526000,0.700342
0.05,006,004,86.615200,86.530500,0.999022
0.10,006,003,48.593100,48.061800,0.989066
0.15,006,003,34.018100,32.908400,0.967379
0.20,006,003,25.840200,24.381000,0.943530
0.25,006,003,20.709900,19.072600,0.920941
0.30,006,003,17.113200,15.208300,0.888688
0.35,006,003,14.429200,12.476800,0.864691
0.40,006,004,12.366600,10.186300,0.823694
0.45,006,004,10.683600,8.267600,0.773859
0.50,006,004,9.318300,6.774900,0.727053
0.05,007,005,86.615200,86.554200,0.999296
0.10,007,004,48.593100,48.028400,0.988379
0.15,007,004,34.018100,32.497600,0.955303
0.20,007,004,25.840200,24.042200,0.930418
0.25,007,004,20.709900,18.367400,0.886890
0.30,007,004,17.113200,14.265000,0.833567
0.35,007,004,14.429200,11.106700,0.769738
0.40,007,004,12.366600,8.654600,0.699837
0.45,007,004,10.683600,6.817400,0.638118
0.50,007,004,9.318300,5.567200,0.597448
0.05,008,004,86.615200,86.339400,0.996816
0.10,008,004,48.593100,47.321700,0.973836
0.15,008,005,34.018100,31.780000,0.934209
0.20,008,005,25.840200,23.051900,0.892094
0.25,008,005,20.709900,17.237700,0.832341
0.30,008,005,17.113200,13.007400,0.760080
0.35,008,005,14.429200,9.929600,0.688160
0.40,008,005,12.366600,7.770100,0.628313
0.45,008,005,10.683600,6.304600,0.590119
0.50,008,005,9.318300,5.275800,0.566176
0.05,009,006,86.615200,86.447700,0.998066
0.10,009,005,48.593100,47.313900,0.973675
0.15,009,005,34.018100,31.565900,0.927915
0.20,009,005,25.840200,22.570000,0.873445
0.25,009,005,20.709900,16.511500,0.797276
0.30,009,005,17.113200,12.057700,0.704585
0.35,009,005,14.429200,8.864400,0.614338
0.40,009,005,12.366600,6.858400,0.554591
0.45,009,005,10.683600,5.665200,0.530271
0.50,009,005,9.318300,4.810400,0.516232
0.05,010,006,86.615200,85.787200,0.990440
0.10,010,005,48.593100,46.208500,0.950927
0.15,010,006,34.018100,30.682300,0.901940
0.20,010,006,25.840200,21.488000,0.831573
0.25,010,006,20.709900,15.390800,0.743161
0.30,010,006,17.113200,11.313000,0.661069
0.35,010,006,14.429200,8.645300,0.599153
0.40,010,006,12.366600,7.003600,0.566332
0.45,010,006,10.683600,5.909400,0.553128
0.50,010,004,9.318300,4.798200,0.514922
0.05,011,007,86.615200,85.789500,0.990467
0.10,011,007,48.593100,45.768300,0.941868
0.15,011,007,34.018100,29.581900,0.869593
0.20,011,007,25.840200,20.234200,0.783051
0.25,011,007,20.709900,14.212000,0.686242
0.30,011,007,17.113200,10.427900,0.609348
0.35,011,007,14.429200,7.986900,0.553523
0.40,011,006,12.366600,6.459800,0.522359
0.45,011,004,10.683600,5.190400,0.485829
0.50,011,004,9.318300,4.270500,0.458292
0.05,012,006,86.615200,85.583600,0.988090
0.10,012,006,48.593100,45.202000,0.930214
0.15,012,007,34.018100,29.434000,0.865245
0.20,012,007,25.840200,19.955800,0.772277
0.25,012,007,20.709900,13.858300,0.669163
0.30,012,007,17.113200,10.175000,0.594570
0.35,012,007,14.429200,8.042400,0.557370
0.40,012,005,12.366600,6.573400,0.531545
0.45,012,005,10.683600,5.224300,0.489002
0.50,012,005,9.318300,4.413600,0.473649
0.05,013,009,86.615200,85.504900,0.987181
0.10,013,008,48.593100,44.942800,0.924880
0.15,013,008,34.018100,28.164100,0.827915
0.20,013,008,25.840200,18.711100,0.724108
0.25,013,007,20.709900,12.871900,0.621534
0.30,013,007,17.113200,9.388900,0.548635
0.35,013,007,14.429200,7.395200,0.512516
0.40,013,005,12.366600,5.813900,0.470129
0.45,013,005,10.683600,4.780900,0.447499
0.50,013,003,9.318300,3.932200,0.421987
0.05,014,007,86.615200,84.373700,0.974121
0.10,014,009,48.593100,44.056100,0.906633
0.15,014,009,34.018100,27.272000,0.801691
0.20,014,008,25.840200,17.873900,0.691709
0.25,014,008,20.709900,12.081900,0.583388
0.30,014,008,17.113200,9.058500,0.529328
0.35,014,005,14.429200,6.315700,0.437703
0.40,014,005,12.366600,5.191600,0.419808
0.45,014,005,10.683600,4.542800,0.425212
0.50,014,003,9.318300,3.680400,0.394965
0.05,015,010,86.615200,84.657200,0.977394
0.10,015,009,48.593100,43.623000,0.897720
0.15,015,009,34.018100,26.532100,0.779941
0.20,015,009,25.840200,16.931600,0.655243
0.25,015,009,20.709900,11.909000,0.575039
0.30,015,008,17.113200,8.920300,0.521253
0.35,015,005,14.429200,6.881000,0.476880
0.40,015,005,12.366600,5.335900,0.431477
0.45,015,004,10.683600,4.511400,0.422273
0.50,015,003,9.318300,3.574100,0.383557
0.05,016,008,86.615200,83.417600,0.963083
0.10,016,010,48.593100,42.837200,0.881549
0.15,016,010,34.018100,25.488000,0.749248
0.20,016,010,25.840200,16.436700,0.636090
0.25,016,009,20.709900,11.589300,0.559602
0.30,016,006,17.113200,8.814800,0.515088
0.35,016,006,14.429200,6.753600,0.468051
0.40,016,005,12.366600,5.435400,0.439523
0.45,016,004,10.683600,4.522100,0.423275
0.50,016,003,9.318300,3.498000,0.375390
0.05,017,011,86.615200,83.565700,0.964793
0.10,017,011,48.593100,41.516600,0.854372
0.15,017,011,34.018100,24.281200,0.713773
0.20,017,010,25.840200,15.572400,0.602642
0.25,017,009,20.709900,11.022900,0.532253
0.30,017,006,17.113200,8.186100,0.478350
0.35,017,005,14.429200,6.149500,0.426184
0.40,017,005,12.366600,4.970800,0.401954
0.45,017,003,10.683600,4.191300,0.392312
0.50,017,003,9.318300,3.256700,0.349495
0.05,018,009,86.615200,82.479600,0.952253
0.10,018,011,48.593100,41.718600,0.858529
0.15,018,011,34.018100,23.940400,0.703755
0.20,018,010,25.840200,15.233300,0.589519
0.25,018,010,20.709900,10.937600,0.528134
0.30,018,007,17.113200,8.032100,0.469351
0.35,018,005,14.429200,5.834200,0.404333
0.40,018,005,12.366600,4.911700,0.397175
0.45,018,004,10.683600,4.271600,0.399828
0.50,018,003,9.318300,3.314900,0.355741
0.05,019,011,86.615200,82.983500,0.958071
0.10,019,012,48.593100,40.417100,0.831746
0.15,019,011,34.018100,22.802900,0.670317
0.20,019,011,25.840200,14.376100,0.556346
0.25,019,007,20.709900,9.538200,0.460562
0.30,019,007,17.113200,7.346500,0.429289
0.35,019,005,14.429200,5.453800,0.377970
0.40,019,005,12.366600,4.731900,0.382635
0.45,019,003,10.683600,4.007600,0.375117
0.50,019,003,9.318300,3.182100,0.341489
0.05,020,013,86.615200,81.988700,0.946586
0.10,020,013,48.593100,39.135300,0.805367
0.15,020,012,34.018100,22.229800,0.653470
0.20,020,011,25.840200,14.134200,0.546985
0.25,020,007,20.709900,9.325300,0.450282
0.30,020,007,17.113200,7.426300,0.433952
0.35,020,005,14.429200,5.507200,0.381671
0.40,020,005,12.366600,4.678100,0.378285
0.45,020,003,10.683600,3.826600,0.358175
0.50,020,003,9.318300,3.143500,0.337347
0.05,021,013,86.615200,81.782300,0.944203
0.10,021,013,48.593100,38.619200,0.794747
0.15,021,012,34.018100,21.591100,0.634694
0.20,021,011,25.840200,13.829000,0.535174
0.25,021,008,20.709900,9.851800,0.475705
0.30,021,006,17.113200,7.586500,0.443313
0.35,021,005,14.429200,5.644800,0.391207
0.40,021,004,12.366600,4.751900,0.384253
0.45,021,003,10.683600,3.733100,0.349423
0.50,021,003,9.318300,3.087600,0.331348
0.05,022,011,86.615200,80.801100,0.932874
0.10,022,014,48.593100,37.744900,0.776754
0.15,022,013,34.018100,20.986200,0.616913
0.20,022,008,25.840200,13.876600,0.537016
0.25,022,008,20.709900,9.376300,0.452745
0.30,022,006,17.113200,7.048500,0.411875
0.35,022,005,14.429200,5.400800,0.374297
0.40,022,004,12.366600,4.527700,0.366123
0.45,022,003,10.683600,3.679800,0.344434
0.50,022,003,9.318300,3.090600,0.331670
0.05,023,015,86.615200,80.502600,0.929428
0.10,023,015,48.593100,36.336200,0.747765
0.15,023,013,34.018100,20.035200,0.588957
0.20,023,008,25.840200,12.902300,0.499311
0.25,023,008,20.709900,8.943100,0.431827
0.30,023,005,17.113200,6.616900,0.386655
0.35,023,005,14.429200,5.135300,0.355896
0.40,023,004,12.366600,4.349500,0.351713
0.45,023,003,10.683600,3.513100,0.328831
0.50,023,003,9.318300,3.014800,0.323535
0.05,024,012,86.615200,80.116300,0.924968
0.10,024,014,48.593100,36.114900,0.743210
0.15,024,014,34.018100,19.650000,0.577634
0.20,024,009,25.840200,12.049600,0.466312
0.25,024,007,20.709900,8.917600,0.430596
0.30,024,005,17.113200,6.459300,0.377445
0.35,024,005,14.429200,5.157200,0.357414
0.40,024,004,12.366600,4.407400,0.356395
0.45,024,003,10.683600,3.505000,0.328073
0.50,024,003,9.318300,3.022900,0.324405
0.05,025,016,86.615200,79.509500,0.917962
0.10,025,016,48.593100,35.171700,0.723800
0.15,025,014,34.018100,19.300800,0.567369
0.20,025,009,25.840200,11.853300,0.458715
0.25,025,007,20.709900,8.751200,0.422561
0.30,025,005,17.113200,6.479300,0.378614
0.35,025,005,14.429200,5.146000,0.356638
0.40,025,004,12.366600,4.387800,0.354811
0.45,025,003,10.683600,3.412700,0.319434
0.50,025,003,9.318300,2.940100,0.315519
0.05,026,017,86.615200,78.510700,0.906431
0.10,026,017,48.593100,34.090000,0.701540
0.15,026,014,34.018100,19.100500,0.561481
0.20,026,009,25.840200,11.537500,0.446494
0.25,026,007,20.709900,8.388400,0.405043
0.30,026,005,17.113200,6.343800,0.370696
0.35,026,005,14.429200,5.134700,0.355855
0.40,026,004,12.366600,4.233700,0.342350
0.45,026,003,10.683600,3.336500,0.312301
0.50,026,003,9.318300,2.974400,0.319200
0.05,027,017,86.615200,78.092200,0.901599
0.10,027,017,48.593100,33.709500,0.693710
0.15,027,015,34.018100,18.844300,0.553949
0.20,027,010,25.840200,11.778900,0.455836
0.25,027,007,20.709900,7.809100,0.377071
0.30,027,005,17.113200,6.111000,0.357093
0.35,027,005,14.429200,5.062400,0.350844
0.40,027,004,12.366600,4.191100,0.338905
0.45,027,003,10.683600,3.332900,0.311964
0.50,027,003,9.318300,2.882800,0.309370
0.05,028,018,86.615200,77.762300,0.897790
