w,s,p,T,avg_age,max_age
1,1,0.2,300,3.935718936877065,20.4411
2,1,0.2,300,3.934364119601323,20.4052
2,2,0.2,300,3.9331813953488446,20.4292
3,1,0.2,300,3.983452491694355,20.7086
3,2,0.2,300,3.813716279069766,20.2637
3,3,0.2,300,3.841383056478407,20.2248
4,1,0.2,300,3.9817142857143057,20.8021
4,2,0.2,300,3.7035232558139555,19.9594
4,3,0.2,300,3.7629857142857,20.1528
4,4,0.2,300,3.811595681063142,20.2124
5,1,0.2,300,4.048454485049839,21.2443
5,2,0.2,300,3.8059797342192576,20.3395
5,3,0.2,300,3.4570485049833786,19.4949
5,4,0.2,300,3.697515282392036,20.0798
5,5,0.2,300,3.7079621262458335,20.0809
6,1,0.2,300,4.051320265780746,21.2553
6,2,0.2,300,3.73353887043191,20.1262
6,3,0.2,300,3.4390963455149577,19.0585
6,4,0.2,300,3.4371000000000036,19.3633
6,5,0.2,300,3.6444352159468423,19.9565
6,6,0.2,300,3.6586053156146123,19.9449
7,1,0.2,300,4.174729568106327,22.2578
7,2,0.2,300,3.7280750830564657,20.1222
7,3,0.2,300,3.491925249169428,19.6326
7,4,0.2,300,3.2015847176079713,18.6157
7,5,0.2,300,3.3655029900332374,19.1043
7,6,0.2,300,3.5588132890365234,19.7759
7,7,0.2,300,3.578274418604647,19.7762
8,1,0.2,300,4.185386710963445,22.4154
8,2,0.2,300,3.781592026578074,20.5439
8,3,0.2,300,3.4329043189368784,19.4442
8,4,0.2,300,3.1756395348837247,18.0305
8,5,0.2,300,3.027891362126251,17.6816
8,6,0.2,300,3.3830056478405326,19.3115
8,7,0.2,300,3.4700368770764167,19.5186
8,8,0.2,300,3.516964784053163,19.6132
9,1,0.2,300,4.322244518272436,23.6585
9,2,0.2,300,3.7719833887043213,20.5902
9,3,0.2,300,3.3456614617940206,19.1772
9,4,0.2,300,3.3447777408637864,19.2053
9,5,0.2,300,2.9358255813953513,17.1034
9,6,0.2,300,3.0702196013289167,17.7173
9,7,0.2,300,3.3086225913621217,19.0223
9,8,0.2,300,3.3893368770764014,19.1642
9,9,0.2,300,3.4253269102989923,19.2545
10,1,0.2,300,4.349085714285711,23.87
10,2,0.2,300,3.7485142857142857,20.5684
10,3,0.2,300,3.3572591362126136,19.0201
10,4,0.2,300,3.1798671096345448,18.7031
10,5,0.2,300,3.015410963455157,17.1403
10,6,0.2,300,2.8610425249169467,16.2082
10,7,0.2,300,3.0728192691029776,17.8209
10,8,0.2,300,3.2461129568106344,18.845
10,9,0.2,300,3.3294069767441834,19.1321
10,10,0.2,300,3.3434328903654458,19.062
11,1,0.2,300,4.499972093023247,25.3044
11,2,0.2,300,3.8356455149501634,21.1748
11,3,0.2,300,3.418290033222594,19.6741
11,4,0.2,300,3.0662893687707578,18.2336
11,5,0.2,300,2.9710285714285654,17.6201
11,6,0.2,300,2.790965116279066,15.8967
11,7,0.2,300,2.7691471760797275,15.0414
11,8,0.2,300,2.9943415282392025,17.6593
11,9,0.2,300,3.1848853820598064,18.7183
11,10,0.2,300,3.2627714285714244,18.917
11,11,0.2,300,3.2759033222591323,18.8814
12,1,0.2,300,4.546321926910274,25.7666
12,2,0.2,300,3.81503887043189,21.0752
12,3,0.2,300,3.3791598006644525,19.4689
12,4,0.2,300,3.019516943521607,17.7277
12,5,0.2,300,2.9337548172757435,17.3479
12,6,0.2,300,2.8683299003322276,16.1699
12,7,0.2,300,2.741242857142864,14.795
12,8,0.2,300,2.8291508305647883,15.6534
12,9,0.2,300,2.965686378737555,17.501
12,10,0.2,300,3.151543853820592,18.5837
12,11,0.2,300,3.195971760797341,18.6896
12,12,0.2,300,3.221672757475086,18.6696
13,1,0.2,300,4.731570764119586,27.5204
13,2,0.2,300,3.8358591362126258,21.4175
13,3,0.2,300,3.3500770764119685,19.325
13,4,0.2,300,3.007015282392022,17.5347
13,5,0.2,300,2.8411245847176163,16.749
13,6,0.2,300,2.9351697674418533,17.056
13,7,0.2,300,2.6537332225913843,13.9956
13,8,0.2,300,2.733825249169442,14.0247
13,9,0.2,300,2.845843189368774,15.9961
13,10,0.2,300,2.9483136212624435,17.2726
13,11,0.2,300,3.0545578073089614,18.18
13,12,0.2,300,3.1449860465116286,18.37
13,13,0.2,300,3.1678521594684343,18.337
14,1,0.2,300,4.751178405315597,27.7718
14,2,0.2,300,3.9191900332225953,22.1158
14,3,0.2,300,3.3655275747508147,19.39
14,4,0.2,300,3.0713448504983374,18.4523
14,5,0.2,300,2.6786438538205943,15.5762
14,6,0.2,300,2.7797176079734354,16.0896
14,7,0.2,300,2.7511292358804043,15.1413
14,8,0.2,300,2.63818970099669,13.4475
14,9,0.2,300,2.7187089700996627,13.4735
14,10,0.2,300,2.796919269103003,16.0604
14,11,0.2,300,2.869852823920255,16.9973
14,12,0.2,300,3.0289607973421964,18.1057
14,13,0.2,300,3.037769102990032,17.9399
14,14,0.2,300,3.1146644518272355,17.873
15,1,0.2,300,4.990226578073064,29.9147
15,2,0.2,300,3.8718601328903715,21.8518
15,3,0.2,300,3.413682059800656,19.9244
15,4,0.2,300,2.9985428571428585,18.0631
15,5,0.2,300,2.6934089700996573,15.5045
15,6,0.2,300,2.706021926910299,15.4044
15,7,0.2,300,2.720714285714287,14.9724
15,8,0.2,300,2.6085162790697694,13.2106
15,9,0.2,300,2.638596345514951,12.947
15,10,0.2,300,2.714600664451833,14.04
15,11,0.2,300,2.7561956810631254,15.3273
15,12,0.2,300,2.8824714285714337,17.0023
15,13,0.2,300,2.981939534883728,17.6263
15,14,0.2,300,3.0133385382059767,17.515
15,15,0.2,300,3.0551990033222554,17.4034
16,1,0.2,300,5.025552491694341,30.3242
16,2,0.2,300,3.895644850498352,22.1233
16,3,0.2,300,3.3752495016611204,19.6974
16,4,0.2,300,2.9479225913621243,17.6311
16,5,0.2,300,2.7385093023255815,15.7737
16,6,0.2,300,2.6368139534883897,14.6193
16,7,0.2,300,2.669130897009962,14.4835
16,8,0.2,300,2.674908637873764,14.2845
16,9,0.2,300,2.5919199335548186,12.625
16,10,0.2,300,2.6478631229235887,12.7067
16,11,0.2,300,2.716327242524926,14.485
16,12,0.2,300,2.746586710963462,15.1995
16,13,0.2,300,2.8522335548172824,16.6778
16,14,0.2,300,2.9169066445182805,17.0869
16,15,0.2,300,2.9994840531561513,17.2144
16,16,0.2,300,3.0447445182724326,17.0617
17,1,0.2,300,5.305214617940223,32.6831
17,2,0.2,300,4.013907641196018,23.1878
17,3,0.2,300,3.3699807308970144,19.6285
17,4,0.2,300,2.933320930232572,17.3785
17,5,0.2,300,2.6989674418604714,15.922
17,6,0.2,300,2.5594956810631198,13.6345
17,7,0.2,300,2.605753820598019,13.8887
17,8,0.2,300,2.6509777408637967,14.2283
17,9,0.2,300,2.551591362126256,12.0184
17,10,0.2,300,2.575009302325584,12.1207
17,11,0.2,300,2.6556335548172756,12.5496
17,12,0.2,300,2.6530691029900377,14.1585
17,13,0.2,300,2.714348172757496,14.8754
17,14,0.2,300,2.7694717607973387,15.7939
17,15,0.2,300,2.8900837209302326,16.787
17,16,0.2,300,2.935148172757467,16.69
17,17,0.2,300,2.9799624584717637,16.363
18,1,0.2,300,5.390196345514944,33.4284
18,2,0.2,300,3.9755508305647824,22.9857
18,3,0.2,300,3.358833222591351,19.6607
18,4,0.2,300,2.940273421926908,17.5835
18,5,0.2,300,2.653769767441854,15.5681
18,6,0.2,300,2.555621262458467,13.6849
18,7,0.2,300,2.543056478405314,12.9646
18,8,0.2,300,2.5832009966777596,13.3087
18,9,0.2,300,2.6067953488372186,13.3819
18,10,0.2,300,2.514135880398677,11.7744
18,11,0.2,300,2.6034707641196118,12.3994
18,12,0.2,300,2.626328903654495,13.031
18,13,0.2,300,2.6443162790697823,13.7625
18,14,0.2,300,2.6699491694352173,14.5764
18,15,0.2,300,2.773985049833896,15.8221
18,16,0.2,300,2.8480196013289167,16.327
18,17,0.2,300,2.8880767441860664,16.2009
18,18,0.2,300,2.942979069767436,16.0966
19,1,0.2,300,5.61215315614619,35.3571
19,2,0.2,300,4.000684053156142,23.2427
19,3,0.2,300,3.4318870431893607,20.3049
19,4,0.2,300,2.963671096345507,18.0831
19,5,0.2,300,2.608528239202662,15.167
19,6,0.2,300,2.5773265780730954,13.9724
19,7,0.2,300,2.4524867109634667,11.1092
19,8,0.2,300,2.5316737541528505,13.0582
19,9,0.2,300,2.564678737541527,12.4983
19,10,0.2,300,2.461051495016613,11.5043
19,11,0.2,300,2.5227990033222696,11.5663
19,12,0.2,300,2.584903322259145,12.4047
19,13,0.2,300,2.5868744186046553,12.9742
19,14,0.2,300,2.5874588039867135,12.8158
19,15,0.2,300,2.6609461794020013,14.4312
19,16,0.2,300,2.7158913621262584,15.2838
19,17,0.2,300,2.7923534883721044,15.7272
19,18,0.2,300,2.8508249169435267,15.7803
19,19,0.2,300,2.912993355481742,15.7368
20,1,0.2,300,5.693103654485042,36.1089
20,2,0.2,300,4.127630564784057,24.4831
20,3,0.2,300,3.425428239202666,20.2419
20,4,0.2,300,2.921479401993357,17.7989
20,5,0.2,300,2.5549697674418685,14.4891
20,6,0.2,300,2.6060677740863762,14.4876
20,7,0.2,300,2.4323691029900507,10.9296
20,8,0.2,300,2.4831388704318984,11.9352
20,9,0.2,300,2.524786378737547,12.2608
20,10,0.2,300,2.532946179402001,12.5574
20,11,0.2,300,2.489072425249187,11.3439
20,12,0.2,300,2.535386046511629,11.7826
20,13,0.2,300,2.5918621262458466,12.4567
20,14,0.2,300,2.5209385382059835,12.3967
20,15,0.2,300,2.6115355481727724,13.2163
20,16,0.2,300,2.624180730897013,13.8417
20,17,0.2,300,2.6765262458471613,14.7146
20,18,0.2,300,2.7666408637873765,15.35
20,19,0.2,300,2.815378405315624,15.445
20,20,0.2,300,2.8281289036544828,14.9948
21,1,0.2,300,6.003878073089686,38.3414
