p,w,s,base,best,gain
0.05,002,002,17.737262,17.737268,1.000000
0.10,002,002,8.697102,8.700319,1.000370
0.15,002,001,5.538521,5.538841,1.000058
0.20,002,001,3.929368,3.933757,1.001117
0.25,002,001,2.957897,2.960429,1.000856
0.30,002,001,2.306807,2.307661,1.000371
0.35,002,002,1.838427,1.839475,1.000570
0.40,002,002,1.486783,1.486872,1.000060
0.45,002,001,1.213403,1.213692,1.000239
0.50,002,002,0.993366,0.993634,1.000270
0.05,003,002,17.737262,17.682725,0.996925
0.10,003,002,8.697102,8.626667,0.991901
0.15,003,002,5.538521,5.445010,0.983116
0.20,003,002,3.929368,3.817090,0.971426
0.25,003,002,2.957897,2.827970,0.956075
0.30,003,002,2.306807,2.165545,0.938763
0.35,003,002,1.838427,1.693290,0.921053
0.40,003,002,1.486783,1.342551,0.902991
0.45,003,002,1.213403,1.074210,0.885288
0.50,003,002,0.993366,0.864623,0.870397
0.05,004,002,17.737262,17.607910,0.992707
0.10,004,002,8.697102,8.524545,0.980159
0.15,004,002,5.538521,5.324057,0.961278
0.20,004,002,3.929368,3.705780,0.943098
0.25,004,002,2.957897,2.727127,0.921982
0.30,004,002,2.306807,2.082531,0.902777
0.35,004,002,1.838427,1.627526,0.885282
0.40,004,002,1.486783,1.295866,0.871591
0.45,004,002,1.213403,1.044556,0.860849
0.50,004,003,0.993366,0.848142,0.853806
0.05,005,003,17.737262,17.553883,0.989661
0.10,005,003,8.697102,8.401503,0.966012
0.15,005,003,5.538521,5.137308,0.927559
0.20,005,003,3.929368,3.458431,0.880149
0.25,005,003,2.957897,2.453406,0.829443
0.30,005,003,2.306807,1.805939,0.782874
0.35,005,003,1.838427,1.375800,0.748357
0.40,005,003,1.486783,1.082819,0.728297
0.45,005,003,1.213403,0.876491,0.722341
0.50,005,003,0.993366,0.723565,0.728398
0.05,006,003,17.737262,17.470450,0.984958
0.10,006,003,8.697102,8.284875,0.952602
0.15,006,003,5.538521,5.061314,0.913839
0.20,006,004,3.929368,3.437538,0.874832
0.25,006,004,2.957897,2.458582,0.831193
0.30,006,004,2.306807,1.832358,0.794327
0.35,006,004,1.838427,1.412370,0.768249
0.40,006,004,1.486783,1.118171,0.752074
0.45,006,004,1.213403,0.904405,0.745346
0.50,006,004,0.993366,0.742228,0.747185
0.05,007,004,17.737262,17.440990,0.983297
0.10,007,004,8.697102,8.148920,0.936970
0.15,007,004,5.538521,4.854134,0.876431
0.20,007,004,3.929368,3.198362,0.813963
0.25,007,004,2.957897,2.250224,0.760751
0.30,007,004,2.306807,1.669365,0.723669
0.35,007,004,1.838427,1.290610,0.702019
0.40,007,004,1.486783,1.029132,0.692187
0.45,007,004,1.213403,0.837815,0.690467
0.50,007,004,0.993366,0.689861,0.694468
0.05,008,005,17.737262,17.230994,0.971457
0.10,008,005,8.697102,7.906956,0.909148
0.15,008,005,5.538521,4.609433,0.832250
0.20,008,005,3.929368,3.016290,0.767627
0.25,008,005,2.957897,2.148118,0.726232
0.30,008,005,2.306807,1.626967,0.705290
0.35,008,005,1.838427,1.283300,0.698043
0.40,008,003,1.486783,1.032215,0.694261
0.45,008,003,1.213403,0.835197,0.688310
0.50,008,006,0.993366,0.692648,0.697273
0.05,009,005,17.737262,17.224511,0.971092
0.10,009,005,8.697102,7.842046,0.901685
0.15,009,005,5.538521,4.538987,0.819530
0.20,009,005,3.929368,2.942525,0.748855
0.25,009,005,2.957897,2.075086,0.701541
0.30,009,005,2.306807,1.561026,0.676704
0.35,009,005,1.838427,1.225543,0.666626
0.40,009,005,1.486783,0.987673,0.664302
0.45,009,005,1.213403,0.809657,0.667262
0.50,009,005,0.993366,0.671846,0.676332
0.05,010,005,17.737262,16.966196,0.956528
0.10,010,006,8.697102,7.627130,0.876974
0.15,010,006,5.538521,4.368233,0.788700
0.20,010,006,3.929368,2.864051,0.728883
0.25,010,006,2.957897,2.060194,0.696506
0.30,010,006,2.306807,1.569890,0.680547
0.35,010,006,1.838427,1.236691,0.672690
0.40,010,004,1.486783,0.989417,0.665475
0.45,010,006,1.213403,0.808835,0.666584
0.50,010,005,0.993366,0.667612,0.672070
0.05,011,007,17.737262,16.800337,0.947178
0.10,011,007,8.697102,7.331710,0.843006
0.15,011,007,5.538521,4.171212,0.753127
0.20,011,007,3.929368,2.764336,0.703507
0.25,011,006,2.957897,1.982913,0.670379
0.30,011,006,2.306807,1.498557,0.649624
0.35,011,006,1.838427,1.174039,0.638611
0.40,011,006,1.486783,0.941180,0.633031
0.45,011,006,1.213403,0.767604,0.632605
0.50,011,006,0.993366,0.635446,0.639690
0.05,012,006,17.737262,16.696984,0.941351
0.10,012,007,8.697102,7.317439,0.841365
0.15,012,007,5.538521,4.152559,0.749759
0.20,012,007,3.929368,2.740582,0.697461
0.25,012,007,2.957897,1.987772,0.672022
0.30,012,007,2.306807,1.519044,0.658505
0.35,012,007,1.838427,1.194267,0.649613
0.40,012,007,1.486783,0.957620,0.644089
0.45,012,007,1.213403,0.779848,0.642695
0.50,012,007,0.993366,0.644162,0.648464
0.05,013,008,17.737262,16.578162,0.934652
0.10,013,008,8.697102,7.109452,0.817451
0.15,013,007,5.538521,4.048031,0.730887
0.20,013,007,3.929368,2.658530,0.676580
0.25,013,007,2.957897,1.926449,0.651290
0.30,013,007,2.306807,1.474446,0.639172
0.35,013,007,1.838427,1.162692,0.632439
0.40,013,007,1.486783,0.935780,0.629399
0.45,013,007,1.213403,0.765729,0.631059
0.50,013,006,0.993366,0.633604,0.637835
0.05,014,009,17.737262,16.342940,0.921390
0.10,014,009,8.697102,6.913929,0.794969
0.15,014,008,5.538521,3.974401,0.717592
0.20,014,008,3.929368,2.636634,0.671007
0.25,014,005,2.957897,1.878523,0.635087
0.30,014,005,2.306807,1.444263,0.626088
0.35,014,006,1.838427,1.155440,0.628494
0.40,014,006,1.486783,0.927784,0.624021
0.45,014,006,1.213403,0.760793,0.626992
0.50,014,013,0.993366,0.624229,0.628398
0.05,015,009,17.737262,16.292932,0.918571
0.10,015,009,8.697102,6.836333,0.786047
0.15,015,009,5.538521,3.903124,0.704723
0.20,015,008,3.929368,2.600324,0.661767
0.25,015,008,2.957897,1.887678,0.638183
0.30,015,005,2.306807,1.443504,0.625759
0.35,015,008,1.838427,1.143343,0.621914
0.40,015,008,1.486783,0.920759,0.619296
0.45,015,008,1.213403,0.750712,0.618683
0.50,015,010,0.993366,0.620159,0.624301
0.05,016,010,17.737262,16.060632,0.905474
0.10,016,010,8.697102,6.682708,0.768383
0.15,016,009,5.538521,3.857203,0.696432
0.20,016,009,3.929368,2.593561,0.660045
0.25,016,006,2.957897,1.885218,0.637351
0.30,016,006,2.306807,1.444878,0.626354
0.35,016,006,1.838427,1.141018,0.620649
0.40,016,006,1.486783,0.917721,0.617253
0.45,016,006,1.213403,0.749803,0.617934
0.50,016,009,0.993366,0.621485,0.625636
0.05,017,011,17.737262,15.800894,0.890831
0.10,017,011,8.697102,6.559987,0.754273
0.15,017,009,5.538521,3.784968,0.683390
0.20,017,009,3.929368,2.548142,0.648486
0.25,017,006,2.957897,1.847377,0.624557
0.30,017,006,2.306807,1.418571,0.614950
0.35,017,006,1.838427,1.119130,0.608743
0.40,017,006,1.486783,0.898662,0.604434
0.45,017,006,1.213403,0.733515,0.604511
0.50,017,010,0.993366,0.607604,0.611662
0.05,018,011,17.737262,15.796849,0.890602
0.10,018,011,8.697102,6.517557,0.749394
0.15,018,010,5.538521,3.726895,0.672904
0.20,018,010,3.929368,2.519132,0.641104
0.25,018,010,2.957897,1.850006,0.625446
0.30,018,010,2.306807,1.420038,0.615586
0.35,018,010,1.838427,1.120906,0.609709
0.40,018,010,1.486783,0.901964,0.606655
0.45,018,010,1.213403,0.737496,0.607791
0.50,018,010,0.993366,0.611623,0.615708
0.05,019,012,17.737262,15.502201,0.873991
0.10,019,011,8.697102,6.392917,0.735063
0.15,019,010,5.538521,3.670690,0.662756
0.20,019,007,3.929368,2.456241,0.625098
0.25,019,010,2.957897,1.804046,0.609908
0.30,019,010,2.306807,1.390886,0.602949
0.35,019,010,1.838427,1.103672,0.600335
0.40,019,010,1.486783,0.889501,0.598272
0.45,019,014,1.213403,0.724407,0.597004
0.50,019,014,0.993366,0.598161,0.602156
0.05,020,013,17.737262,15.257305,0.860184
0.10,020,012,8.697102,6.295260,0.723834
0.15,020,011,5.538521,3.656496,0.660194
0.20,020,007,3.929368,2.436532,0.620083
0.25,020,005,2.957897,1.805368,0.610355
0.30,020,009,2.306807,1.393194,0.603949
0.35,020,009,1.838427,1.094478,0.595334
0.40,020,009,1.486783,0.881554,0.592927
0.45,020,010,1.213403,0.722767,0.595653
0.50,020,010,0.993366,0.600314,0.604323
0.05,021,013,17.737262,15.201031,0.857011
0.10,021,012,8.697102,6.229774,0.716305
0.15,021,011,5.538521,3.618459,0.653326
0.20,021,011,3.929368,2.469460,0.628463
0.25,021,009,2.957897,1.812400,0.612733
0.30,021,009,2.306807,1.387977,0.601688
0.35,021,009,1.838427,1.094897,0.595562
0.40,021,009,1.486783,0.881209,0.592695
0.45,021,009,1.213403,0.720440,0.593735
0.50,021,012,0.993366,0.595435,0.599412
0.05,022,014,17.737262,15.026413,0.847166
0.10,022,013,8.697102,6.170359,0.709473
0.15,022,012,5.538521,3.580051,0.646391
0.20,022,012,3.929368,2.441541,0.621357
0.25,022,012,2.957897,1.795324,0.606959
0.30,022,012,2.306807,1.378577,0.597613
0.35,022,012,1.838427,1.089718,0.592745
0.40,022,012,1.486783,0.877924,0.590486
0.45,022,012,1.213403,0.718224,0.591909
0.50,022,012,0.993366,0.596140,0.600121
0.05,023,015,17.737262,14.787824,0.833715
0.10,023,013,8.697102,6.057966,0.696550
0.15,023,012,5.538521,3.528955,0.637165
0.20,023,012,3.929368,2.391009,0.608497
0.25,023,012,2.957897,1.751819,0.592251
0.30,023,012,2.306807,1.346166,0.583562
0.35,023,012,1.838427,1.068019,0.580942
0.40,023,012,1.486783,0.863548,0.580816
0.45,023,012,1.213403,0.706717,0.582426
0.50,023,012,0.993366,0.586312,0.590228
0.05,024,015,17.737262,14.775566,0.833024
0.10,024,014,8.697102,6.039687,0.694448
0.15,024,009,5.538521,3.524638,0.636386
0.20,024,013,3.929368,2.409182,0.613122
0.25,024,013,2.957897,1.773482,0.599575
0.30,024,013,2.306807,1.365739,0.592047
0.35,024,012,1.838427,1.079816,0.587359
0.40,024,012,1.486783,0.869344,0.584715
0.45,024,023,1.213403,0.708155,0.583611
0.50,024,023,0.993366,0.585083,0.588990
0.05,025,016,17.737262,14.490727,0.816965
0.10,025,013,8.697102,5.950760,0.684223
0.15,025,013,5.538521,3.498110,0.631596
0.20,025,013,3.929368,2.397564,0.610165
0.25,025,013,2.957897,1.765956,0.597031
0.30,025,011,2.306807,1.359615,0.589393
0.35,025,011,1.838427,1.076739,0.585685
0.40,025,011,1.486783,0.867200,0.583273
0.45,025,011,1.213403,0.708475,0.583875
0.50,025,016,0.993366,0.585569,0.589480
0.05,026,017,17.737262,14.260742,0.803999
0.10,026,015,8.697102,5.901317,0.678538
0.15,026,009,5.538521,3.463910,0.625421
0.20,026,007,3.929368,2.382056,0.606219
0.25,026,013,2.957897,1.767121,0.597425
0.30,026,013,2.306807,1.352003,0.586093
0.35,026,016,1.838427,1.068409,0.581154
0.40,026,021,1.486783,0.859996,0.578427
0.45,026,021,1.213403,0.703072,0.579422
0.50,026,021,0.993366,0.582612,0.586503
0.05,027,017,17.737262,14.232427,0.802403
0.10,027,015,8.697102,5.834687,0.670877
0.15,027,010,5.538521,3.453147,0.623478
0.20,027,007,3.929368,2.356548,0.599727
0.25,027,016,2.957897,1.752001,0.592313
0.30,027,016,2.306807,1.339560,0.580699
0.35,027,016,1.838427,1.060550,0.576879
0.40,027,016,1.486783,0.856079,0.575793
0.45,027,016,1.213403,0.699183,0.576216
0.50,027,016,0.993366,0.578714,0.582579
0.05,028,018,17.737262,14.046689,0.791931
0.10,028,016,8.697102,5.774213,0.663924
0.15,028,010,5.538521,3.419579,0.617417
0.20,028,015,3.929368,2.353590,0.598974
0.25,028,015,2.957897,1.740067,0.588278
0.30,028,017,2.306807,1.336941,0.579563
0.35,028,017,1.838427,1.058538,0.575784
0.40,028,017,1.486783,0.854105,0.574466
0.45,028,017,1.213403,0.697261,0.574633
0.50,028,017,0.993366,0.577833,0.581692
0.05,029,019,17.737262,13.919059,0.784735
0.10,029,015,8.697102,5.740721,0.660073
0.15,029,010,5.538521,3.385444,0.611254
0.20,029,015,3.929368,2.329860,0.592935
0.25,029,015,2.957897,1.715510,0.579976
0.30,029,015,2.306807,1.323226,0.573618
0.35,029,015,1.838427,1.050518,0.571422
0.40,029,018,1.486783,0.848789,0.570890
0.45,029,018,1.213403,0.693956,0.571909
0.50,029,018,0.993366,0.574616,0.578453
0.05,030,019,17.737262,13.837662,0.780146
0.10,030,018,8.697102,5.779355,0.664515
0.15,030,010,5.538521,3.421184,0.617707
0.20,030,010,3.929368,2.344273,0.596603
0.25,030,010,2.957897,1.731522,0.585390
0.30,030,015,2.306807,1.332365,0.577580
0.35,030,015,1.838427,1.055275,0.574010
0.40,030,015,1.486783,0.851083,0.572433
0.45,030,015,1.213403,0.695146,0.572890
0.50,030,015,0.993366,0.576209,0.580058
0.05,031,019,17.737262,13.780516,0.776925
0.10,031,011,8.697102,5.772425,0.663718
0.15,031,011,5.538521,3.390542,0.612175
0.20,031,008,3.929368,2.348720,0.597735
0.25,031,014,2.957897,1.730383,0.585004
0.30,031,014,2.306807,1.335143,0.578784
0.35,031,024,1.838427,1.060363,0.576777
0.40,031,019,1.486783,0.855299,0.575268
0.45,031,014,1.213403,0.696715,0.574183
0.50,031,014,0.993366,0.576009,0.579856
0.05,032,019,17.737262,13.663304,0.770316
0.10,032,012,8.697102,5.713050,0.656891
0.15,032,011,5.538521,3.366247,0.607788
0.20,032,014,3.929368,2.331619,0.593383
0.25,032,014,2.957897,1.721901,0.582137
0.30,032,019,2.306807,1.325442,0.574579
0.35,032,019,1.838427,1.049953,0.571115
0.40,032,019,1.486783,0.847967,0.570337
0.45,032,019,1.213403,0.693240,0.571319
0.50,032,019,0.993366,0.574289,0.578125
0.05,033,019,17.737262,13.537168,0.763205
0.10,033,019,8.697102,5.636574,0.648098
0.15,033,014,5.538521,3.374003,0.609188
0.20,033,014,3.929368,2.316947,0.589649
0.25,033,019,2.957897,1.715176,0.579863
0.30,033,019,2.306807,1.317117,0.570970
0.35,033,019,1.838427,1.044418,0.568104
0.40,033,019,1.486783,0.844605,0.568075
0.45,033,019,1.213403,0.690394,0.568973
0.50,033,014,0.993366,0.570918,0.574731
0.05,034,022,17.737262,13.382011,0.754458
0.10,034,019,8.697102,5.560375,0.639337
0.15,034,014,5.538521,3.326522,0.600615
0.20,034,012,3.929368,2.304263,0.586421
0.25,034,012,2.957897,1.706955,0.577084
0.30,034,019,2.306807,1.316325,0.570626
0.35,034,019,1.838427,1.043968,0.567859
0.40,034,019,1.486783,0.842782,0.566850
0.45,034,019,1.213403,0.687448,0.566546
0.50,034,019,0.993366,0.569365,0.573167
0.05,035,022,17.737262,13.300618,0.749869
0.10,035,013,8.697102,5.555828,0.638814
0.15,035,012,5.538521,3.300386,0.595897
0.20,035,012,3.929368,2.279679,0.580164
0.25,035,012,2.957897,1.688471,0.570835
0.30,035,024,2.306807,1.301950,0.564395
0.35,035,024,1.838427,1.034945,0.562951
0.40,035,024,1.486783,0.837857,0.563537
0.45,035,022,1.213403,0.684613,0.564209
0.50,035,022,0.993366,0.566312,0.570094
0.05,036,022,17.737262,13.211064,0.744820
0.10,036,013,8.697102,5.522093,0.634935
0.15,036,012,5.538521,3.334728,0.602097
0.20,036,022,3.929368,2.296359,0.584409
0.25,036,022,2.957897,1.690299,0.571453
0.30,036,022,2.306807,1.302103,0.564461
0.35,036,022,1.838427,1.034043,0.562461
0.40,036,022,1.486783,0.837155,0.563065
0.45,036,022,1.213403,0.684501,0.564117
