w,s,p,T,avg_age,max_age
1,1,0.15,1000,5.61132867132867,33.419
2,1,0.15,1000,5.643889110889103,34.024
2,2,0.15,1000,5.656573426573425,34.024
3,1,0.15,1000,5.653823176823178,33.954
3,2,0.15,1000,5.512107892107891,33.921
3,3,0.15,1000,5.595055944055952,33.963
4,1,0.15,1000,5.65113386613386,34.286
4,2,0.15,1000,5.372627372627373,33.088
4,3,0.15,1000,5.495878121878114,33.687
4,4,0.15,1000,5.512707292707278,33.431
5,1,0.15,1000,5.739808191808195,34.754
5,2,0.15,1000,5.510036963036959,33.515
5,3,0.15,1000,5.234104895104903,33.354
5,4,0.15,1000,5.4188381618381625,33.596
5,5,0.15,1000,5.433024975024978,33.751
6,1,0.15,1000,5.696237762237758,34.482
6,2,0.15,1000,5.465950049950045,33.833
6,3,0.15,1000,5.144854145854148,32.847
6,4,0.15,1000,5.20605494505494,32.864
6,5,0.15,1000,5.372967032967029,33.507
6,6,0.15,1000,5.403335664335667,34.043
7,1,0.15,1000,5.802519480519483,35.916
7,2,0.15,1000,5.423509490509481,33.547
7,3,0.15,1000,5.286189810189808,33.738
7,4,0.15,1000,4.977385614385608,32.758
7,5,0.15,1000,5.096125874125873,32.825
7,6,0.15,1000,5.284365634365639,33.291
7,7,0.15,1000,5.239718281718285,32.971
8,1,0.15,1000,5.785172827172823,35.493
8,2,0.15,1000,5.509227772227772,33.87
8,3,0.15,1000,5.209903096903103,33.042
8,4,0.15,1000,4.878416583416578,32.422
8,5,0.15,1000,4.677382617382618,32.054
8,6,0.15,1000,5.150821178821176,33.231
8,7,0.15,1000,5.182117882117888,33.427
8,8,0.15,1000,5.210460539460535,33.228
9,1,0.15,1000,5.8722357642357546,37.143
9,2,0.15,1000,5.502526473526475,34.079
9,3,0.15,1000,5.099590409590411,33.066
9,4,0.15,1000,5.067391608391617,32.99
9,5,0.15,1000,4.61273326673327,31.368
9,6,0.15,1000,4.696571428571428,31.375
9,7,0.15,1000,5.079125874125874,33.013
9,8,0.15,1000,5.102980019980019,32.761
9,9,0.15,1000,5.147213786213792,33.054
10,1,0.15,1000,5.917155844155841,37.59
10,2,0.15,1000,5.443334665334664,34.146
10,3,0.15,1000,5.106550449550445,32.923
10,4,0.15,1000,4.94915784215784,32.958
10,5,0.15,1000,4.628035964035968,30.895
10,6,0.15,1000,4.433492507492502,30.902
10,7,0.15,1000,4.7207502497502505,31.72
10,8,0.15,1000,4.974834165834166,32.654
10,9,0.15,1000,5.050680319680326,32.627
10,10,0.15,1000,5.060489510489516,32.976
11,1,0.15,1000,6.018036963036957,39.414
11,2,0.15,1000,5.603016983016988,35.532
11,3,0.15,1000,5.255725274725274,33.735
11,4,0.15,1000,4.846155844155841,32.339
11,5,0.15,1000,4.647841158841157,31.767
11,6,0.15,1000,4.388526473526469,30.769
11,7,0.15,1000,4.219888111888115,29.265
11,8,0.15,1000,4.753341658341656,32.035
11,9,0.15,1000,4.8961858141858166,32.208
11,10,0.15,1000,4.939612387612388,32.809
11,11,0.15,1000,4.945562437562438,32.185
12,1,0.15,1000,6.010344655344655,39.569
12,2,0.15,1000,5.489963036963037,34.405
12,3,0.15,1000,5.152078921078925,33.435
12,4,0.15,1000,4.735867132867125,31.917
12,5,0.15,1000,4.639297702297704,31.727
12,6,0.15,1000,4.416013986013986,29.457
12,7,0.15,1000,4.213535464535462,29.442
12,8,0.15,1000,4.39605994005994,30.562
12,9,0.15,1000,4.676126873126866,31.679
12,10,0.15,1000,4.840815184815189,32.355
12,11,0.15,1000,4.894901098901093,32.413
12,12,0.15,1000,4.923892107892108,32.742
13,1,0.15,1000,6.159342657342657,42.163
13,2,0.15,1000,5.530934065934065,34.968
13,3,0.15,1000,5.164506493506494,33.572
13,4,0.15,1000,4.766670329670328,31.994
13,5,0.15,1000,4.5432627372627294,31.559
13,6,0.15,1000,4.604692307692305,32.01
13,7,0.15,1000,4.1268881118881104,29.005
13,8,0.15,1000,4.077093906093905,27.984
13,9,0.15,1000,4.398953046953049,30.43
13,10,0.15,1000,4.6018271728271705,31.789
13,11,0.15,1000,4.773370629370638,32.171
13,12,0.15,1000,4.780278721278721,31.889
13,13,0.15,1000,4.813902097902092,31.459
14,1,0.15,1000,6.215202797202796,42.669
14,2,0.15,1000,5.644359640359639,36.186
14,3,0.15,1000,5.162207792207803,33.539
14,4,0.15,1000,4.850111888111888,32.506
14,5,0.15,1000,4.410696303696294,31.09
14,6,0.15,1000,4.380608391608388,30.677
14,7,0.15,1000,4.2405894105894095,28.636
14,8,0.15,1000,3.999858141858139,27.972
14,9,0.15,1000,4.044940059940062,27.498
14,10,0.15,1000,4.404971028971028,30.634
14,11,0.15,1000,4.520179820179814,31.485
14,12,0.15,1000,4.671196803196809,31.792
14,13,0.15,1000,4.734545454545452,31.788
14,14,0.15,1000,4.767621378621377,31.906
15,1,0.15,1000,6.317519480519473,44.835
15,2,0.15,1000,5.5828151848152,35.792
15,3,0.15,1000,5.23750849150849,33.812
15,4,0.15,1000,4.832972027972027,32.387
15,5,0.15,1000,4.371350649350653,30.832
15,6,0.15,1000,4.252728271728267,30.271
15,7,0.15,1000,4.219039960039963,29.743
15,8,0.15,1000,3.9835374625374658,27.72
15,9,0.15,1000,3.9226583416583467,26.417
15,10,0.15,1000,4.069615384615388,27.638
15,11,0.15,1000,4.251160839160847,29.827
15,12,0.15,1000,4.490943056943058,30.944
15,13,0.15,1000,4.645960039960032,31.74
15,14,0.15,1000,4.612900099900099,31.261
15,15,0.15,1000,4.683420579420576,31.389
16,1,0.15,1000,6.371091908091915,46.071
16,2,0.15,1000,5.588047952047951,36.065
16,3,0.15,1000,5.206585414585412,33.725
16,4,0.15,1000,4.732273726273725,32.315
16,5,0.15,1000,4.3856863136863105,30.544
16,6,0.15,1000,4.179963036963035,29.879
16,7,0.15,1000,4.149300699300699,29.57
16,8,0.15,1000,4.086561438561439,27.386
16,9,0.15,1000,3.8729290709290707,26.271
16,10,0.15,1000,3.894688311688311,25.203
16,11,0.15,1000,4.122550449550445,28.455
16,12,0.15,1000,4.257681318681312,30.017
16,13,0.15,1000,4.451180819180821,30.919
16,14,0.15,1000,4.561880119880117,31.212
16,15,0.15,1000,4.623034965034961,31.51
16,16,0.15,1000,4.620499500499504,31.293
17,1,0.15,1000,6.555241758241742,49.202
17,2,0.15,1000,5.654470529470532,36.989
17,3,0.15,1000,5.202814185814171,34.078
