w,s,p,T,avg_age,max_age
1,1,0.35,1000,1.8533920079920116,14.4292
2,1,0.35,1000,1.8519911088911143,14.4756
2,2,0.35,1000,1.8495063936063973,14.4093
3,1,0.35,1000,1.8511585414585443,14.4413
3,2,0.35,1000,1.7043419580419654,14.1135
3,3,0.35,1000,1.7532166833166898,14.1953
4,1,0.35,1000,1.8541163836163832,14.4717
4,2,0.35,1000,1.639105994005997,13.6302
4,3,0.35,1000,1.668689410589414,13.9581
4,4,0.35,1000,1.7178615384615503,14.1432
5,1,0.35,1000,1.8572178821178889,14.5237
5,2,0.35,1000,1.6579372627372582,13.9939
5,3,0.35,1000,1.3832029970029989,12.5332
5,4,0.35,1000,1.5703362637362681,13.7359
5,5,0.35,1000,1.6121452547452546,13.859
6,1,0.35,1000,1.8590464535464528,14.5496
6,2,0.35,1000,1.5999623376623369,13.6024
6,3,0.35,1000,1.459669930069924,12.4768
6,4,0.35,1000,1.4221440559440517,12.5662
6,5,0.35,1000,1.5446926073926066,13.5878
6,6,0.35,1000,1.5831405594405616,13.6164
7,1,0.35,1000,1.860696203796202,14.6086
7,2,0.35,1000,1.5794093906093993,13.5498
7,3,0.35,1000,1.3832584415584328,12.7149
7,4,0.35,1000,1.2979298701298663,11.1067
7,5,0.35,1000,1.3547640359640234,12.0828
7,6,0.35,1000,1.4631681318681304,13.2254
7,7,0.35,1000,1.5071693306693246,13.2316
8,1,0.35,1000,1.863391708291712,14.6961
8,2,0.35,1000,1.5820237762237794,13.6963
8,3,0.35,1000,1.3283927072927022,12.2294
8,4,0.35,1000,1.3178848151848088,11.2489
8,5,0.35,1000,1.2902507492507431,9.9296
8,6,0.35,1000,1.3338532467532385,12.1284
8,7,0.35,1000,1.4138576423576477,12.8918
8,8,0.35,1000,1.460812487512489,13.1717
9,1,0.35,1000,1.8687460539460499,14.8561
9,2,0.35,1000,1.5562619380619342,13.5591
9,3,0.35,1000,1.2766246753246744,11.4153
9,4,0.35,1000,1.3236763236763183,11.962
9,5,0.35,1000,1.2305327672327644,8.8644
9,6,0.35,1000,1.2829828171828126,10.2959
9,7,0.35,1000,1.3033858141858103,11.7924
9,8,0.35,1000,1.377500399600403,12.8222
9,9,0.35,1000,1.4165508491508587,12.9659
10,1,0.35,1000,1.868206993007,14.8537
10,2,0.35,1000,1.5383361638361686,13.315
10,3,0.35,1000,1.2862546453546466,11.5054
10,4,0.35,1000,1.2467132867132886,10.6762
10,5,0.35,1000,1.2574702297702243,10.2799
10,6,0.35,1000,1.2397338661338597,8.6453
10,7,0.35,1000,1.2605837162837106,10.1499
10,8,0.35,1000,1.283510289710288,11.6851
10,9,0.35,1000,1.3385919080919044,12.6159
10,10,0.35,1000,1.3822532467532391,12.5867
11,1,0.35,1000,1.8741100899100904,15.0167
11,2,0.35,1000,1.544142757242753,13.5656
11,3,0.35,1000,1.2325134865134848,11.4399
11,4,0.35,1000,1.1872328671328682,9.6964
11,5,0.35,1000,1.2103037962037955,9.1844
11,6,0.35,1000,1.1831030969030898,8.11
11,7,0.35,1000,1.2157085914085857,7.9869
11,8,0.35,1000,1.2159649350649349,9.5121
11,9,0.35,1000,1.2354620379620318,11.2879
11,10,0.35,1000,1.2901010989010946,12.1542
11,11,0.35,1000,1.3400156843156752,11.9537
12,1,0.35,1000,1.8769493506493515,15.1394
12,2,0.35,1000,1.525898301698304,13.3582
12,3,0.35,1000,1.2318457542457515,11.0738
12,4,0.35,1000,1.203748851148852,9.4972
12,5,0.35,1000,1.2017309690309637,8.8105
12,6,0.35,1000,1.2140759240759194,9.2552
12,7,0.35,1000,1.198919180819184,8.0424
12,8,0.35,1000,1.2207797202797224,8.6504
12,9,0.35,1000,1.2252044955044918,9.4304
