w,s,p,T,avg_age,max_age
1,1,0.15,1000,5.644493806193815,34.0181
2,1,0.15,1000,5.626568531468544,33.9811
2,2,0.15,1000,5.62568501498503,33.9196
3,1,0.15,1000,5.652160939060957,34.0316
3,2,0.15,1000,5.524099600399604,33.6012
3,3,0.15,1000,5.549467532467536,33.7329
4,1,0.15,1000,5.646836863136883,34.0041
4,2,0.15,1000,5.424909290709274,33.5537
4,3,0.15,1000,5.494651648351644,33.7356
4,4,0.15,1000,5.52794245754245,33.6889
5,1,0.15,1000,5.694143356643351,34.3654
5,2,0.15,1000,5.536718281718267,33.9556
5,3,0.15,1000,5.2175742257742135,33.197
5,4,0.15,1000,5.42990969030969,33.6106
5,5,0.15,1000,5.4343248751248945,33.6374
6,1,0.15,1000,5.710276923076911,34.5392
6,2,0.15,1000,5.456514085914093,33.7483
6,3,0.15,1000,5.144617482517468,32.9084
6,4,0.15,1000,5.174691808191817,33.1343
6,5,0.15,1000,5.37334895104895,33.5081
6,6,0.15,1000,5.3855903096903015,33.5454
7,1,0.15,1000,5.782961038961033,35.4769
7,2,0.15,1000,5.438619480519479,33.4539
7,3,0.15,1000,5.2711032967032665,33.3615
7,4,0.15,1000,4.936145554445546,32.4976
7,5,0.15,1000,5.1194258741259,32.8776
7,6,0.15,1000,5.287626673326654,33.2835
7,7,0.15,1000,5.290378921078921,33.1702
8,1,0.15,1000,5.7783954045954244,35.5214
8,2,0.15,1000,5.531600999000999,34.2556
8,3,0.15,1000,5.228907192807179,33.3704
8,4,0.15,1000,4.83567282717281,31.8011
8,5,0.15,1000,4.683192807192826,31.78
8,6,0.15,1000,5.133567032967011,32.9181
8,7,0.15,1000,5.200743556443587,33.1901
8,8,0.15,1000,5.221177122877118,33.2111
9,1,0.15,1000,5.889226173826161,37.1074
9,2,0.15,1000,5.488546253746257,34.0562
9,3,0.15,1000,5.1242393606393595,33.0355
9,4,0.15,1000,5.095812087912077,33.1382
9,5,0.15,1000,4.6240212787212975,31.5659
9,6,0.15,1000,4.723891508491504,31.8844
9,7,0.15,1000,5.056751748251753,32.8658
9,8,0.15,1000,5.1267043956044125,32.9293
9,9,0.15,1000,5.1468104895104885,32.942
10,1,0.15,1000,5.888345554445557,37.1508
10,2,0.15,1000,5.4677045954045775,34.0629
10,3,0.15,1000,5.083855344655339,32.6086
10,4,0.15,1000,4.950081418581424,32.7004
10,5,0.15,1000,4.616571728271716,30.8763
10,6,0.15,1000,4.418372727272725,30.6823
10,7,0.15,1000,4.7601352647352595,31.9307
10,8,0.15,1000,4.993309290709317,32.7411
10,9,0.15,1000,5.05188801198803,32.7333
10,10,0.15,1000,5.072828471528486,32.6881
11,1,0.15,1000,6.003019280719273,39.0513
11,2,0.15,1000,5.552031968031977,34.7973
11,3,0.15,1000,5.227018381618355,33.4906
11,4,0.15,1000,4.867133066933037,32.529
11,5,0.15,1000,4.6525450549450715,31.8382
11,6,0.15,1000,4.378579120879122,30.5303
11,7,0.15,1000,4.230541358641379,29.5819
11,8,0.15,1000,4.717995704295714,31.8436
11,9,0.15,1000,4.91184405594404,32.5981
11,10,0.15,1000,4.958033866133856,32.6863
11,11,0.15,1000,4.983394505494513,32.6321
12,1,0.15,1000,6.038383016983028,39.806
