p,w,s,base,best,gain
0.05,002,002,18.511019,18.562155,1.002762
0.10,002,002,8.901046,8.930467,1.003305
0.15,002,002,5.644494,5.625685,0.996668
0.20,002,002,3.987589,3.978809,0.997798
0.25,002,002,2.989625,2.986271,0.998878
0.30,002,001,2.325726,2.324511,0.999478
0.35,002,002,1.853392,1.849506,0.997904
0.40,002,002,1.497941,1.494424,0.997652
0.45,002,002,1.220545,1.218290,0.998152
0.50,002,002,0.998873,0.997085,0.998210
0.05,003,003,18.511019,18.543604,1.001760
0.10,003,002,8.901046,8.853627,0.994673
0.15,003,002,5.644494,5.524100,0.978671
0.20,003,002,3.987589,3.861675,0.968424
0.25,003,002,2.989625,2.854260,0.954722
0.30,003,002,2.325726,2.180301,0.937471
0.35,003,002,1.853392,1.704342,0.919580
0.40,003,002,1.497941,1.348939,0.900529
0.45,003,002,1.220545,1.077585,0.882871
0.50,003,002,0.998873,0.867063,0.868041
0.05,004,003,18.511019,18.516142,1.000277
0.10,004,002,8.901046,8.731709,0.980976
0.15,004,002,5.644494,5.424909,0.961098
0.20,004,002,3.987589,3.750969,0.940661
0.25,004,002,2.989625,2.752823,0.920792
0.30,004,002,2.325726,2.097781,0.901990
0.35,004,002,1.853392,1.639106,0.884382
0.40,004,002,1.497941,1.303406,0.870132
0.45,004,002,1.220545,1.050117,0.860367
0.50,004,003,0.998873,0.852061,0.853022
0.05,005,003,18.511019,18.472983,0.997945
0.10,005,003,8.901046,8.618218,0.968225
0.15,005,003,5.644494,5.217574,0.924365
0.20,005,003,3.987589,3.496270,0.876788
0.25,005,003,2.989625,2.470455,0.826343
0.30,005,003,2.325726,1.816449,0.781025
0.35,005,003,1.853392,1.383203,0.746309
0.40,005,003,1.497941,1.086848,0.725562
0.45,005,003,1.220545,0.879246,0.720371
0.50,005,003,0.998873,0.725774,0.726593
0.05,006,003,18.511019,18.308478,0.989058
0.10,006,003,8.901046,8.482238,0.952948
0.15,006,003,5.644494,5.144617,0.911440
0.20,006,003,3.987589,3.478767,0.872399
0.25,006,004,2.989625,2.479026,0.829210
0.30,006,004,2.325726,1.843854,0.792808
0.35,006,004,1.853392,1.422144,0.767320
0.40,006,004,1.497941,1.124705,0.750834
0.45,006,004,1.220545,0.908428,0.744280
0.50,006,004,0.998873,0.744834,0.745674
0.05,007,005,18.511019,18.366433,0.992189
0.10,007,004,8.901046,8.378505,0.941294
0.15,007,004,5.644494,4.936146,0.874506
0.20,007,004,3.987589,3.242368,0.813115
0.25,007,004,2.989625,2.272222,0.760036
0.30,007,004,2.325726,1.680879,0.722733
0.35,007,004,1.853392,1.297930,0.700300
0.40,007,004,1.497941,1.034480,0.690602
0.45,007,004,1.220545,0.840688,0.688781
0.50,007,004,0.998873,0.692672,0.693454
0.05,008,004,18.511019,18.087150,0.977102
0.10,008,005,8.901046,8.122891,0.912577
0.15,008,005,5.644494,4.683193,0.829692
0.20,008,005,3.987589,3.052807,0.765577
0.25,008,005,2.989625,2.166887,0.724802
0.30,008,005,2.325726,1.637792,0.704207
0.35,008,005,1.853392,1.290251,0.696156
0.40,008,003,1.497941,1.037828,0.692836
0.45,008,003,1.220545,0.839479,0.687790
0.50,008,006,0.998873,0.692939,0.693721
0.05,009,006,18.511019,18.126022,0.979202
0.10,009,005,8.901046,8.074327,0.907121
0.15,009,005,5.644494,4.624021,0.819209
0.20,009,005,3.987589,2.979542,0.747204
0.25,009,005,2.989625,2.094350,0.700539
0.30,009,005,2.325726,1.571143,0.675549
0.35,009,005,1.853392,1.230533,0.663936
0.40,009,005,1.497941,0.991197,0.661707
0.45,009,005,1.220545,0.812516,0.665699
0.50,009,006,0.998873,0.674177,0.674938
0.05,010,005,18.511019,17.855144,0.964568
0.10,010,006,8.901046,7.791207,0.875314
0.15,010,006,5.644494,4.418373,0.782776
0.20,010,006,3.987589,2.876978,0.721483
0.25,010,006,2.989625,2.065436,0.690868
0.30,010,006,2.325726,1.573354,0.676500
0.35,010,006,1.853392,1.239734,0.668900
0.40,010,004,1.497941,0.993476,0.663228
0.45,010,006,1.220545,0.810538,0.664079
0.50,010,006,0.998873,0.668597,0.669351
0.05,011,007,18.511019,17.661535,0.954109
0.10,011,007,8.901046,7.493527,0.841870
0.15,011,007,5.644494,4.230541,0.749499
0.20,011,007,3.987589,2.786912,0.698897
0.25,011,006,2.989625,2.004378,0.670444
0.30,011,006,2.325726,1.512042,0.650138
0.35,011,006,1.853392,1.183103,0.638345
0.40,011,006,1.497941,0.947492,0.632530
0.45,011,006,1.220545,0.772248,0.632708
0.50,011,006,0.998873,0.638865,0.639586
0.05,012,006,18.511019,17.577398,0.949564
0.10,012,007,8.901046,7.486274,0.841055
0.15,012,007,5.644494,4.206398,0.745221
0.20,012,007,3.987589,2.763875,0.693119
0.25,012,007,2.989625,2.000487,0.669143
0.30,012,007,2.325726,1.527564,0.656812
0.35,012,007,1.853392,1.198919,0.646878
0.40,012,007,1.497941,0.960924,0.641496
0.45,012,007,1.220545,0.782833,0.641380
0.50,012,007,0.998873,0.645679,0.646407
0.05,013,008,18.511019,17.420590,0.941093
0.10,013,008,8.901046,7.257585,0.815363
0.15,013,008,5.644494,4.091336,0.724837
0.20,013,007,3.987589,2.686413,0.673694
0.25,013,007,2.989625,1.942736,0.649826
0.30,013,007,2.325726,1.485598,0.638767
0.35,013,005,1.853392,1.168041,0.630218
0.40,013,007,1.497941,0.940452,0.627830
0.45,013,008,1.220545,0.767116,0.628503
0.50,013,008,0.998873,0.630096,0.630806
0.05,014,009,18.511019,17.097264,0.923626
0.10,014,009,8.901046,7.046892,0.791693
0.15,014,008,5.644494,4.003304,0.709241
0.20,014,008,3.987589,2.636122,0.661082
0.25,014,005,2.989625,1.887701,0.631417
0.30,014,005,2.325726,1.450594,0.623717
0.35,014,006,1.853392,1.156421,0.623949
0.40,014,006,1.497941,0.927795,0.619380
0.45,014,009,1.220545,0.758989,0.621844
0.50,014,009,0.998873,0.627722,0.628430
0.05,015,009,18.511019,17.157042,0.926856
0.10,015,009,8.901046,6.970393,0.783098
0.15,015,009,5.644494,3.932491,0.696695
0.20,015,008,3.987589,2.605958,0.653517
0.25,015,008,2.989625,1.887033,0.631194
0.30,015,008,2.325726,1.442432,0.620207
0.35,015,008,1.853392,1.139893,0.615031
0.40,015,008,1.497941,0.917254,0.612344
0.45,015,008,1.220545,0.747303,0.612270
0.50,015,008,0.998873,0.617474,0.618170
0.05,016,010,18.511019,16.833142,0.909358
0.10,016,010,8.901046,6.807272,0.764772
0.15,016,009,5.644494,3.886623,0.688569
