p,w,s,base,best,gain
0.35,038,020,1.419921,0.591607,0.416648
0.40,038,029,1.245159,0.580887,0.466516
0.45,038,029,1.103191,0.572431,0.518887
0.50,038,029,0.995722,0.564691,0.567118
0.05,039,013,9.629652,1.559607,0.161959
0.10,039,013,4.885451,0.814531,0.166726
0.15,039,013,3.286433,0.693580,0.211043
0.20,039,010,2.473705,0.646401,0.261309
0.25,039,020,1.981247,0.618405,0.312129
0.30,039,020,1.654606,0.599563,0.362360
0.35,039,020,1.419921,0.585921,0.412644
0.40,039,020,1.245159,0.576717,0.463167
0.45,039,020,1.103191,0.568620,0.515432
0.50,039,020,0.995722,0.562175,0.564591
0.05,040,014,9.629652,1.579429,0.164017
0.10,040,010,4.885451,0.808978,0.165589
0.15,040,010,3.286433,0.686099,0.208767
0.20,040,010,2.473705,0.641590,0.259364
0.25,040,020,1.981247,0.615191,0.310507
0.30,040,020,1.654606,0.598198,0.361535
0.35,040,020,1.419921,0.585522,0.412362
0.40,040,026,1.245159,0.576286,0.462821
0.45,040,026,1.103191,0.568290,0.515133
0.50,040,026,0.995722,0.561782,0.564196
0.05,041,016,9.629652,1.547227,0.160673
0.10,041,016,4.885451,0.814358,0.166691
0.15,041,016,3.286433,0.689073,0.209672
0.20,041,016,2.473705,0.643042,0.259951
0.25,041,016,1.981247,0.618465,0.312160
0.30,041,016,1.654606,0.600701,0.363048
0.35,041,016,1.419921,0.588333,0.414342
0.40,041,016,1.245159,0.578393,0.464514
0.45,041,016,1.103191,0.571245,0.517812
0.50,041,032,0.995722,0.563815,0.566238
0.05,042,016,9.629652,1.487903,0.154513
0.10,042,016,4.885451,0.805381,0.164853
0.15,042,016,3.286433,0.683542,0.207989
0.20,042,016,2.473705,0.639967,0.258708
0.25,042,016,1.981247,0.615891,0.310861
0.30,042,016,1.654606,0.599628,0.362399
0.35,042,016,1.419921,0.587861,0.414010
0.40,042,016,1.245159,0.578619,0.464695
0.45,042,016,1.103191,0.571266,0.517831
0.50,042,016,0.995722,0.564644,0.567070
0.05,043,016,9.629652,1.441808,0.149726
0.10,043,015,4.885451,0.790863,0.161881
0.15,043,016,3.286433,0.679585,0.206785
0.20,043,016,2.473705,0.633441,0.256070
0.25,043,016,1.981247,0.609630,0.307700
0.30,043,016,1.654606,0.593767,0.358857
0.35,043,016,1.419921,0.581537,0.409556
0.40,043,016,1.245159,0.572930,0.460126
0.45,043,032,1.103191,0.564927,0.512085
0.50,043,032,0.995722,0.558532,0.560931
0.05,044,015,9.629652,1.426206,0.148106
0.10,044,015,4.885451,0.784174,0.160512
0.15,044,016,3.286433,0.674909,0.205362
