p,w,s,base,best,gain
0.05,002,002,63.555320,63.604560,1.000775
0.10,002,002,37.287710,37.245130,0.998858
0.15,002,002,26.476130,26.482040,1.000223
0.20,002,002,20.422620,20.453200,1.001497
0.25,002,001,16.528360,16.542720,1.000869
0.30,002,002,13.752030,13.745620,0.999534
0.35,002,002,11.649330,11.652500,1.000272
0.40,002,002,10.003070,9.998990,0.999592
0.45,002,001,8.680770,8.681450,1.000078
0.50,002,002,7.567430,7.567370,0.999992
0.05,003,002,63.555320,63.496990,0.999082
0.10,003,002,37.287710,37.182550,0.997180
0.15,003,002,26.476130,26.364670,0.995790
0.20,003,002,20.422620,20.239680,0.991042
0.25,003,002,16.528360,16.286650,0.985376
0.30,003,002,13.752030,13.450290,0.978059
0.35,003,002,11.649330,11.310220,0.970890
0.40,003,002,10.003070,9.614790,0.961184
0.45,003,002,8.680770,8.216050,0.946466
0.50,003,002,7.567430,7.040800,0.930408
0.05,004,002,63.555320,63.391850,0.997428
0.10,004,002,37.287710,37.011740,0.992599
0.15,004,002,26.476130,26.058760,0.984236
0.20,004,002,20.422620,19.965060,0.977595
0.25,004,002,16.528360,15.925250,0.963511
0.30,004,002,13.752030,13.059080,0.949611
0.35,004,002,11.649330,10.867430,0.932880
0.40,004,002,10.003070,9.167180,0.916437
0.45,004,002,8.680770,7.790600,0.897455
0.50,004,002,7.567430,6.655620,0.879509
0.05,005,003,63.555320,63.353930,0.996831
0.10,005,003,37.287710,36.864990,0.988663
0.15,005,003,26.476130,25.821340,0.975269
0.20,005,003,20.422620,19.497220,0.954687
0.25,005,003,16.528360,15.280710,0.924515
0.30,005,003,13.752030,12.176400,0.885426
0.35,005,003,11.649330,9.757090,0.837567
0.40,005,003,10.003070,7.803670,0.780128
0.45,005,003,8.680770,6.223770,0.716961
0.50,005,003,7.567430,4.980070,0.658093
0.05,006,003,63.555320,63.296170,0.995922
0.10,006,003,37.287710,36.605800,0.981712
0.15,006,003,26.476130,25.484100,0.962531
0.20,006,003,20.422620,19.119460,0.936190
0.25,006,003,16.528360,14.993790,0.907155
0.30,006,003,13.752030,12.045440,0.875903
0.35,006,004,11.649330,9.715680,0.834012
0.40,006,004,10.003070,7.846170,0.784376
0.45,006,004,8.680770,6.397090,0.736927
0.50,006,004,7.567430,5.257900,0.694807
0.05,007,004,63.555320,63.299290,0.995972
0.10,007,004,37.287710,36.393500,0.976019
0.15,007,004,26.476130,25.132380,0.949247
0.20,007,004,20.422620,18.568080,0.909192
0.25,007,004,16.528360,14.141240,0.855574
0.30,007,004,13.752030,10.850160,0.788986
0.35,007,004,11.649330,8.373940,0.718834
0.40,007,004,10.003070,6.588570,0.658655
0.45,007,004,8.680770,5.352070,0.616543
0.50,007,004,7.567430,4.466300,0.590200
0.05,008,005,63.555320,62.866100,0.989156
0.10,008,004,37.287710,35.882760,0.962321
0.15,008,005,26.476130,24.374120,0.920607
0.20,008,005,20.422620,17.596550,0.861621
0.25,008,005,16.528360,13.007730,0.786995
0.30,008,005,13.752030,9.768690,0.710345
0.35,008,005,11.649330,7.539800,0.647230
0.40,008,005,10.003070,6.078720,0.607685
0.45,008,005,8.680770,5.087680,0.586086
0.50,008,003,7.567430,4.338330,0.573290
0.05,009,005,63.555320,62.913010,0.989894
0.10,009,005,37.287710,35.747210,0.958686
0.15,009,005,26.476130,24.100270,0.910264
0.20,009,005,20.422620,17.159970,0.840243
0.25,009,005,16.528360,12.336980,0.746413
0.30,009,005,13.752030,9.028050,0.656489
0.35,009,005,11.649330,6.897110,0.592061
0.40,009,005,10.003070,5.585320,0.558361
0.45,009,005,8.680770,4.704460,0.541940
0.50,009,005,7.567430,4.023160,0.531642
0.05,010,005,63.555320,62.388300,0.981638
0.10,010,005,37.287710,35.069140,0.940501
0.15,010,006,26.476130,23.323170,0.880913
0.20,010,006,20.422620,16.229760,0.794695
0.25,010,006,16.528360,11.601440,0.701911
0.30,010,006,13.752030,8.690320,0.631930
0.35,010,006,11.649330,6.939390,0.595690
0.40,010,006,10.003070,5.798100,0.579632
0.45,010,004,8.680770,4.752100,0.547428
0.50,010,004,7.567430,3.987070,0.526872
0.05,011,007,63.555320,62.237350,0.979263
0.10,011,007,37.287710,34.392300,0.922349
0.15,011,007,26.476130,22.116810,0.835349
0.20,011,007,20.422620,14.978930,0.733448
0.25,011,007,16.528360,10.656730,0.644754
0.30,011,007,13.752030,8.114560,0.590063
0.35,011,006,11.649330,6.404210,0.549749
0.40,011,004,10.003070,5.255190,0.525358
0.45,011,004,8.680770,4.255450,0.490216
0.50,011,003,7.567430,3.446100,0.455386
0.05,012,006,63.555320,61.811220,0.972558
0.10,012,006,37.287710,34.129210,0.915294
0.15,012,007,26.476130,22.038120,0.832377
0.20,012,007,20.422620,14.809300,0.725142
0.25,012,007,16.528360,10.501880,0.635385
0.30,012,007,13.752030,8.093730,0.588548
0.35,012,007,11.649330,6.597410,0.566334
0.40,012,005,10.003070,5.242590,0.524098
0.45,012,005,8.680770,4.401940,0.507091
0.50,012,003,7.567430,3.571480,0.471954
0.05,013,008,63.555320,61.798790,0.972362
0.10,013,008,37.287710,33.524330,0.899072
0.15,013,008,26.476130,20.931540,0.790582
0.20,013,008,20.422620,14.015140,0.686256
0.25,013,007,16.528360,9.808790,0.593452
0.30,013,007,13.752030,7.536290,0.548013
0.35,013,005,11.649330,5.998210,0.514897
0.40,013,005,10.003070,4.829580,0.482810
0.45,013,005,8.680770,4.103490,0.472710
0.50,013,003,7.567430,3.268060,0.431859
0.05,014,007,63.555320,61.123370,0.961735
0.10,014,009,37.287710,32.619020,0.874793
0.15,014,009,26.476130,20.018790,0.756107
0.20,014,008,20.422620,13.375690,0.654945
0.25,014,008,16.528360,9.608590,0.581340
0.30,014,005,13.752030,6.786260,0.493473
0.35,014,005,11.649330,5.294840,0.454519
0.40,014,005,10.003070,4.552230,0.455083
0.45,014,003,8.680770,3.960970,0.456292
0.50,014,003,7.567430,3.179540,0.420161
0.05,015,009,63.555320,61.237450,0.963530
0.10,015,009,37.287710,32.283210,0.865787
0.15,015,009,26.476130,19.446430,0.734489
0.20,015,009,20.422620,12.910240,0.632154
0.25,015,008,16.528360,9.473110,0.573143
0.30,015,005,13.752030,7.323290,0.532524
0.35,015,005,11.649330,5.536590,0.475271
0.40,015,005,10.003070,4.583670,0.458226
0.45,015,003,8.680770,3.843270,0.442734
0.50,015,003,7.567430,3.057970,0.404096
0.05,016,008,63.555320,60.494430,0.951839
0.10,016,010,37.287710,31.363370,0.841118
0.15,016,010,26.476130,18.683240,0.705664
0.20,016,009,20.422620,12.616190,0.617756
0.25,016,009,16.528360,9.402700,0.568883
0.30,016,006,13.752030,7.022000,0.510616
0.35,016,005,11.649330,5.701090,0.489392
0.40,016,004,10.003070,4.662290,0.466086
0.45,016,003,8.680770,3.787420,0.436300
0.50,016,003,7.567430,3.093620,0.408807
0.05,017,011,63.555320,60.134020,0.946168
0.10,017,011,37.287710,30.304660,0.812725
0.15,017,011,26.476130,18.004470,0.680026
0.20,017,009,20.422620,12.014160,0.588277
0.25,017,006,16.528360,8.900870,0.538521
0.30,017,006,13.752030,6.736300,0.489840
0.35,017,005,11.649330,5.233540,0.449257
0.40,017,005,10.003070,4.437940,0.443658
0.45,017,003,8.680770,3.493320,0.402421
0.50,017,003,7.567430,2.871410,0.379443
0.05,018,009,63.555320,59.599080,0.937751
0.10,018,011,37.287710,30.193730,0.809750
0.15,018,011,26.476130,17.757910,0.670714
0.20,018,010,20.422620,11.828390,0.579181
0.25,018,007,16.528360,8.703630,0.526588
0.30,018,005,13.752030,6.482830,0.471409
0.35,018,005,11.649330,5.094000,0.437278
0.40,018,005,10.003070,4.390350,0.438900
0.45,018,003,8.680770,3.561080,0.410226
