w,s,p,T,avg_age,max_age
1,1,0.15,300,5.538521428571439,26.47613
2,1,0.15,300,5.538840897009939,26.48863
2,2,0.15,300,5.542975581395399,26.48204
3,1,0.15,300,5.61517624584722,26.83275
3,2,0.15,300,5.44500960132897,26.36467
3,3,0.15,300,5.472052624584753,26.39742
4,1,0.15,300,5.621464086378668,26.90172
4,2,0.15,300,5.324057009966837,26.05876
4,3,0.15,300,5.408463820598077,26.31836
4,4,0.15,300,5.4394999667774195,26.34361
5,1,0.15,300,5.785595514950161,27.85157
5,2,0.15,300,5.472506710963436,26.64361
5,3,0.15,300,5.137308106312265,25.82134
5,4,0.15,300,5.345315415282356,26.22991
5,5,0.15,300,5.3433491362125975,26.15819
6,1,0.15,300,5.80044418604658,27.94464
6,2,0.15,300,5.416222524916928,26.52691
6,3,0.15,300,5.06131435215951,25.4841
6,4,0.15,300,5.092594252491672,25.71217
6,5,0.15,300,5.290319900332105,26.10384
6,6,0.15,300,5.298486312292374,26.10803
7,1,0.15,300,6.0381080066445865,29.57778
7,2,0.15,300,5.386758870431935,26.43644
7,3,0.15,300,5.197987109634534,26.12164
7,4,0.15,300,4.854134385382023,25.13238
7,5,0.15,300,5.037566146179427,25.5489
7,6,0.15,300,5.205566810631248,25.95264
7,7,0.15,300,5.215651627906941,25.89908
8,1,0.15,300,6.077595448505096,29.90551
8,2,0.15,300,5.553567043189308,27.33733
8,3,0.15,300,5.155388737541568,26.00472
8,4,0.15,300,4.768413189368815,24.49849
8,5,0.15,300,4.60943272425252,24.37412
8,6,0.15,300,5.066035049833862,25.70523
8,7,0.15,300,5.136338903654458,25.86374
8,8,0.15,300,5.136685581395335,25.76084
9,1,0.15,300,6.386896544850511,32.11481
9,2,0.15,300,5.5201134883722185,27.27838
9,3,0.15,300,5.057597209302284,25.74822
9,4,0.15,300,5.021819999999927,25.69222
9,5,0.15,300,4.538987009966751,24.10027
9,6,0.15,300,4.653070897009956,24.42512
9,7,0.15,300,4.969360099667745,25.42099
9,8,0.15,300,5.052777375415294,25.62354
9,9,0.15,300,5.0536320598007505,25.52537
10,1,0.15,300,6.433873255813898,32.50661
10,2,0.15,300,5.510405083056537,27.30844
10,3,0.15,300,5.044888538205963,25.61087
10,4,0.15,300,4.8709581395348724,25.35971
10,5,0.15,300,4.5385331893687075,23.53029
10,6,0.15,300,4.3682330564784655,23.32317
10,7,0.15,300,4.686614916943509,24.59452
10,8,0.15,300,4.903723089701019,25.28506
10,9,0.15,300,4.962116245847216,25.38388
10,10,0.15,300,4.988143289036583,25.3976
11,1,0.15,300,6.8085101328903725,35.2496
11,2,0.15,300,5.703032524917025,28.5311
11,3,0.15,300,5.21992946843857,26.54664
11,4,0.15,300,4.783441926910281,25.12792
11,5,0.15,300,4.591823554817289,24.51533
11,6,0.15,300,4.3022835215947275,23.08762
11,7,0.15,300,4.171211926910264,22.11681
11,8,0.15,300,4.646280697674475,24.54662
11,9,0.15,300,4.815681129568041,25.02847
11,10,0.15,300,4.874308106312354,25.11747
11,11,0.15,300,4.8939441860464585,25.11321
12,1,0.15,300,6.89666730897013,35.85893
12,2,0.15,300,5.686734717607937,28.59308
12,3,0.15,300,5.164453189368791,26.42894
12,4,0.15,300,4.686174252491691,24.66089
12,5,0.15,300,4.561623920265817,24.39118
12,6,0.15,300,4.335938837209293,22.59667
12,7,0.15,300,4.152558737541496,22.03812
12,8,0.15,300,4.2917299003322205,22.70638
12,9,0.15,300,4.591922857142889,24.36536
12,10,0.15,300,4.779554916943488,24.92479
12,11,0.15,300,4.807538936877066,24.99717
12,12,0.15,300,4.825593421926907,25.01677
13,1,0.15,300,7.316595548172739,38.90938
13,2,0.15,300,5.702289501661049,28.82087
13,3,0.15,300,5.112432491694387,26.24517
13,4,0.15,300,4.66966647840525,24.39231
13,5,0.15,300,4.476687740863759,24.10198
13,6,0.15,300,4.513275581395367,24.08288
13,7,0.15,300,4.048031328903658,21.39683
13,8,0.15,300,4.063324916943576,20.93154
13,9,0.15,300,4.357214950166111,23.10107
13,10,0.15,300,4.5461604318937265,24.13622
13,11,0.15,300,4.664302624584688,24.59858
